Wavelength	Counts
542.4978	243.96428
542.8605	260.34803
543.2232	280.24258
543.5858	268.5399
543.9484	247.47508
544.3109	271.46557
544.6734	293.11553
545.0359	255.66696
545.3983	246.88995
545.7606	252.74129
546.123	255.08182
546.4852	250.40075
546.8474	236.35754
547.2096	277.90205
547.5718	263.85883
547.9338	260.93316
548.2959	265.61423
548.6579	261.5183
549.0198	287.26419
549.3817	269.71017
549.7436	269.12504
550.1054	270.2953
550.4672	254.49669
550.8289	232.84673
551.1906	246.88995
551.5522	247.47508
551.9138	259.17776
552.2753	252.74129
552.6368	236.94267
552.9983	300.72227
553.3597	293.11553
553.721	277.31691
554.0823	274.39124
554.4436	255.08182
554.8048	253.91155
555.166	245.71968
555.5271	233.43187
555.8882	250.98588
556.2493	254.49669
556.6102	258.59263
556.9712	270.88044
557.3321	259.76289
557.6929	269.12504
558.0538	256.83722
558.4145	231.67646
558.7752	255.66696
559.1359	266.7845
559.4965	287.26419
559.8571	287.26419
560.2177	269.12504
560.5781	283.16825
560.9386	277.90205
561.299	259.76289
561.6593	259.17776
562.0196	256.83722
562.3799	261.5183
562.7401	247.47508
563.1003	239.28321
563.4604	238.11294
563.8205	289.60472
564.1805	284.92365
564.5405	262.10343
564.9005	266.19937
565.2603	254.49669
565.6202	273.22097
565.98	245.71968
566.3398	273.80611
566.6995	234.017
567.0591	275.56151
567.4188	259.17776
567.7783	259.76289
568.1379	242.79401
568.4973	252.15615
568.8568	262.10343
569.2162	262.10343
569.5755	268.5399
569.9348	276.14664
570.2941	256.25209
570.6533	229.33593
571.0124	239.86834
571.3715	258.00749
571.7306	262.10343
572.0896	264.44396
572.4486	245.13455
572.8075	253.32642
573.1664	270.2953
573.5253	298.96687
573.884	301.3074
574.2428	271.46557
574.6015	251.57102
574.9601	266.7845
575.3188	229.92106
575.6773	274.39124
576.0358	265.61423
576.3943	267.95477
576.7527	249.23048
577.1111	266.19937
577.4694	240.45347
577.8277	266.7845
578.186	258.00749
578.5442	219.38865
578.9023	255.66696
579.2604	253.32642
579.6185	258.59263
