Wavelength	Counts
792.7624	287.52018
793.0903	254.16755
793.4182	255.33782
793.746	261.77429
794.0738	262.35943
794.4015	226.08112
794.7291	269.96617
795.0567	251.24188
795.3843	249.48648
795.7118	233.68786
796.0393	268.21076
796.3667	275.81751
796.694	261.77429
797.0213	254.16755
797.3486	272.3067
797.6758	298.63773
798.0029	281.66884
798.3301	243.63514
798.6571	260.60402
798.9841	269.96617
799.3111	282.83911
799.638	241.87974
799.9648	260.60402
800.2916	248.90134
800.6183	261.18916
800.945	265.28509
801.2717	241.87974
801.5983	251.24188
801.9248	278.74318
802.2513	254.16755
802.5777	267.0405
802.9041	294.54179
803.2305	271.13643
803.5568	240.12434
803.883	240.70947
804.2092	266.45536
804.5353	249.48648
804.8614	284.00938
805.1874	302.14853
805.5134	291.61612
805.8393	275.23237
806.1652	267.0405
806.491	256.50809
806.8168	260.01889
807.1425	261.77429
807.4682	251.82701
807.7938	236.61353
808.1194	259.43376
808.4449	243.63514
808.7704	255.33782
809.0958	281.08371
809.4212	245.97568
809.7465	254.16755
810.0718	259.43376
810.397	261.77429
810.7221	259.43376
811.0473	255.92295
811.3723	299.22286
811.6973	235.44326
812.0223	269.38103
812.3472	279.32831
812.672	275.23237
812.9968	254.75268
813.3216	281.66884
813.6463	264.11483
813.9709	254.75268
814.2955	291.61612
814.6201	256.50809
814.9446	286.34992
815.269	267.62563
815.5934	265.87023
815.9178	264.11483
816.2421	262.94456
816.5663	271.13643
816.8905	257.67835
817.2146	248.90134
817.5387	271.72157
817.8627	275.81751
818.1867	264.11483
818.5107	266.45536
818.8345	270.5513
819.1584	240.70947
819.4822	283.42425
819.8059	264.11483
820.1296	252.99728
820.4532	277.57291
820.7767	261.77429
821.1003	269.38103
821.4237	257.67835
821.7472	231.34733
822.0705	258.26349
822.3938	248.31621
822.7171	281.66884
823.0403	266.45536
823.3635	292.20126
823.6866	257.09322
824.0096	252.41215
824.3326	255.92295
824.6556	289.86072
824.9785	271.13643
825.3014	268.7959
825.6242	260.60402
825.9469	256.50809
826.2696	219.64465
826.5922	301.5634
826.9148	269.38103
827.2374	261.77429
827.5599	250.07161
827.8823	274.0621
828.2047	250.65675
828.527	268.21076
828.8493	268.7959
829.1716	274.0621
829.4937	296.88233
829.8159	301.5634
830.1379	279.32831
830.46	246.56081
830.7819	257.67835
831.1039	235.44326
831.4257	288.69045
831.7476	271.13643
832.0693	251.24188
832.391	303.3188
832.7127	250.65675
833.0343	257.67835
833.3559	260.60402
833.6774	264.11483
833.9988	255.33782
834.3202	255.33782
834.6416	292.78639
834.9629	292.78639
835.2842	273.47697
835.6054	284.59451
835.9265	277.57291
836.2476	245.97568
836.5686	252.41215
836.8896	253.58242
837.2106	241.87974
837.5315	293.95666
837.8523	264.11483
