Theoretical Spectrum of Semrock FF01-430/LP Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
509.4	0.964261585258255
509.6	0.96431431077328
509.8	0.964309266851885
510	0.964246761121251
510.2	0.964127864698958
510.4	0.963954389811549
510.6	0.963728857055026
510.8	0.963454453021893
511	0.963134979141613
511.2	0.962774792743931
511.4	0.962378741446931
511.6	0.961952092045998
511.8	0.961500455126433
512	0.961029706640849
512.2	0.960545907593177
512.4	0.96005522292982
512.6	0.959563841530868
512.8	0.959077897674073
513	0.958603395004626
513.2	0.958146133980151
513.4	0.957711643572047
513.6	0.957305117898902
513.8	0.956931358361851
514	0.956594721749464
514.2	0.956299074676931
514.4	0.956047754638139
514.6	0.955843537905376
514.8	0.955688614346127
515	0.955584569218307
515.2	0.955532371941529
515.4	0.955532371782179
515.6	0.955584300342522
515.8	0.955687280714313
516	0.955839843122916
516.2	0.95603994668705
516.4	0.956285006981012
516.6	0.956571929432924
516.8	0.956897148087239
517	0.957256669268468
517.2	0.957646119730683
517.4	0.958060798817004
517.6	0.95849573410898
517.8	0.958945740000701
518	0.959405478588812
518.2	0.95986952231306
518.4	0.960332417741602
518.6	0.960788749074451
518.8	0.961233201303879
519	0.961660622215596
519.2	0.96206608238623
519.4	0.962444932421889
519.6	0.962792856702105
519.8	0.963105922927029
520	0.963380626812677
520.2	0.963613931264441
520.4	0.963803299398632
520.6	0.963946721583542
520.8	0.964042735636323
521	0.964090439978821
521.2	0.964089499689607
521.4	0.964040145442706
521.6	0.963943165446535
521.8	0.963799890536132
522	0.963612172741551
522.2	0.963382357901687
522.4	0.963113253153291
522.6	0.962808088473899
522.8	0.962470473756484
523	0.962104352194912
523.2	0.961713950575781
523.4	0.961303727201065
523.6	0.960878318169646
523.8	0.960442482736398
524	0.960001048446507
524.2	0.959558856281245
524.4	0.95912070604798
524.6	0.958691306131699
524.8	0.958275224621046
525	0.957876842626233
525.2	0.957500310617514
525.4	0.957149508130291
525.6	0.956828007127355
525.8	0.956539039254981
526	0.956285467178716
526.2	0.956069760371886
526.4	0.9558939753673
526.6	0.955759738695833
526.8	0.955668235151183
527	0.955620200806879
527.2	0.955615920409999
527.4	0.95565522909724
527.6	0.955737518344189
527.8	0.955861746031298
528	0.95602645048835
528.2	0.956229768537164
528.4	0.956469457816243
528.6	0.956742921597913
528.8	0.957047236644561
529	0.957379184088398
529.2	0.957735282966449
529.4	0.958111826121676
529.6	0.958504918157909
529.8	0.958910515113318
530	0.959324465494409
530.2	0.959742551996942
530.4	0.960160533227958
530.6	0.960574187474734
530.8	0.960979355727666
531	0.961371983713683
531.2	0.961748162778472
531.4	0.962104169174014
531.6	0.962436501317277
531.8	0.962741914601615
532	0.963017453365652
532.2	0.963260479771279
532.4	0.963468699207024
532.6	0.963640181005629
532.8	0.96377337561263
533	0.963867127657332
533.2	0.96392068466401
533.4	0.963933701341728
533.6	0.963906239441955
533.8	0.963838763232973
534	0.963732130698278
534.2	0.963587580622101
534.4	0.9634067157772
534.6	0.963191482479342
534.8	0.962944146813398
535	0.962667267872125
535.2	0.962363668378559
535.4	0.96203640308478
535.6	0.961688725355143
535.8	0.961324052349556
536	0.96094592922401
536.2	0.960557993009591
536.4	0.960163936849201
536.6	0.959767472913727
536.8	0.959372296289101
537	0.958982050021326
537.2	0.958600291400482
537.4	0.958230459771481
537.6	0.957875846129157
537.8	0.957539564723838
538	0.957224526873029
538.2	0.956933416830503
538.4	0.956668669745648
538.6	0.95643245431396
538.8	0.9562266572378
539	0.956052870051453
539.2	0.955912378696857
539.4	0.955806155862211
539.6	0.955734856077476
539.8	0.955698813544022
540	0.955698042660741
540.2	0.955732241098543
540.4	0.955800794977379
540.6	0.955902786932302
540.8	0.956037006874179
541	0.956201965072106
541.2	0.956395907464188
541.4	0.956616833067319
541.6	0.95686251334405
541.8	0.957130513371828
542	0.957418214647035
542.2	0.957722839635993
542.4	0.958041478300216
542.6	0.958371113924135
542.8	0.958708650068961
543	0.959050938381427
543.2	0.959394806774984
543.4	0.959737087744659
543.6	0.960074646570341
543.8	0.960404409159129
544	0.96072338926922
544.2	0.961028714459725
544.4	0.961317650481054
544.6	0.961587626723781
544.8	0.961836259145836
545	0.962061370973911
545.2	0.962261011369282
545.4	0.962433471873274
545.6	0.962577300470926
545.8	0.962691313137641
546	0.962774602761787
546.2	0.962826545388699
546.4	0.96284680336694
546.6	0.962835325306155
546.8	0.962792343960144
547	0.962718371593336
547.2	0.962614192791277
547.4	0.962480854822291
547.6	0.962319655683658
547.8	0.962132129988974
548	0.961920032874382
548.2	0.961685322512974
548.4	0.961430142075263
548.6	0.961156798052687
548.8	0.960867737776599
549	0.960565526350199
549.2	0.960252822909307
549.4	0.959932356452125
549.6	0.959606901473879
549.8	0.959279253634602
550	0.958952205677937
550.2	0.958628523740086
550.4	0.958310924279049
550.6	0.958002052258725
550.8	0.957704460199549
551	0.957420588302134
551.2	0.957152745828904
551.4	0.956903093855176
551.6	0.95667362948533
551.8	0.956466171614577
552	0.956282348302203
552.2	0.956123585772913
552.4	0.955991099092682
552.6	0.955885884822373
552.8	0.955808715283542
553	0.955760134522431
553.2	0.955740456011833
553.4	0.955749762076625
553.6	0.955787905020138
553.8	0.955854509920446
554	0.955948979058271
554.2	0.956070497828924
554.4	0.95621804178696
554.6	0.956390385659589
554.8	0.956586113905129
555	0.956803632573635
555.2	0.957041182435357
555.4	0.957296853285353
555.6	0.95756859932536
555.8	0.957854255516003
556	0.958151554785097
556.2	0.958458146190004
556.4	0.958771614130115
556.6	0.959089496733927
556.8	0.959409304916828
557	0.959728541803912
557.2	0.960044722190531
557.4	0.96035539189084
