Theoretical Spectrum of Semrock FF01-460/14 Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
534	1e-07
534.2	1e-07
534.4	1e-07
534.6	1e-07
534.8	1e-07
535	1e-07
535.2	1e-07
535.4	1e-07
535.6	1e-07
535.8	1e-07
536	1e-07
536.2	1e-07
536.4	1e-07
536.6	1e-07
536.8	1e-07
537	1e-07
537.2	1e-07
537.4	1e-07
537.6	1e-07
537.8	1e-07
538	1e-07
538.2	1e-07
538.4	1e-07
538.6	1e-07
538.8	1e-07
539	1e-07
539.2	1e-07
539.4	1e-07
539.6	1e-07
539.8	1e-07
540	1e-07
540.2	1e-07
540.4	1e-07
540.6	1e-07
540.8	1e-07
541	1e-07
541.2	1e-07
541.4	1e-07
541.6	1e-07
541.8	1e-07
542	1e-07
542.2	1e-07
542.4	1e-07
542.6	1e-07
542.8	1e-07
543	1e-07
543.2	1e-07
543.4	1e-07
543.6	1e-07
543.8	1e-07
544	1e-07
544.2	1e-07
544.4	1e-07
544.6	1e-07
544.8	1e-07
545	1e-07
545.2	1e-07
545.4	1e-07
545.6	1e-07
545.8	1e-07
546	1e-07
546.2	1e-07
546.4	1e-07
546.6	1e-07
546.8	1e-07
547	1e-07
547.2	1e-07
547.4	1e-07
547.6	1e-07
547.8	1e-07
548	1e-07
548.2	1e-07
548.4	1e-07
548.6	1e-07
548.8	1e-07
549	1e-07
549.2	1e-07
549.4	1e-07
549.6	1e-07
549.8	1e-07
550	1e-07
550.2	1e-07
550.4	1e-07
550.6	1e-07
550.8	1e-07
551	1e-07
551.2	1e-07
551.4	1e-07
551.6	1e-07
551.8	1e-07
552	1e-07
552.2	1e-07
552.4	1e-07
552.6	1e-07
552.8	1e-07
553	1e-07
553.2	1e-07
553.4	1e-07
553.6	1e-07
553.8	1e-07
554	1e-07
554.2	1e-07
554.4	1e-07
554.6	1e-07
554.8	1e-07
555	1e-07
555.2	1e-07
555.4	1e-07
555.6	1e-07
555.8	1e-07
556	1e-07
556.2	1e-07
556.4	1e-07
556.6	1e-07
556.8	1e-07
557	1e-07
557.2	1e-07
557.4	1e-07
557.6	1e-07
557.8	1e-07
558	1e-07
558.2	1e-07
558.4	1e-07
558.6	1e-07
558.8	1e-07
559	1e-07
559.2	1e-07
559.4	1e-07
559.6	1e-07
559.8	1e-07
560	1e-07
560.2	1e-07
560.4	1e-07
560.6	1e-07
560.8	1e-07
561	1e-07
561.2	1e-07
561.4	1e-07
561.6	1e-07
561.8	1e-07
562	1e-07
562.2	1e-07
562.4	1e-07
562.6	1e-07
562.8	1e-07
563	1e-07
563.2	1e-07
563.4	1e-07
563.6	1e-07
563.8	1e-07
564	1e-07
564.2	1e-07
564.4	1e-07
564.6	1e-07
564.8	1e-07
565	1e-07
565.2	1e-07
565.4	1e-07
565.6	1e-07
565.8	1e-07
566	1e-07
566.2	1e-07
566.4	1e-07
566.6	1e-07
566.8	1e-07
567	1e-07
567.2	1e-07
567.4	1e-07
567.6	1e-07
567.8	1e-07
568	1e-07
568.2	1e-07
568.4	1e-07
568.6	1e-07
568.8	1e-07
569	1e-07
569.2	1e-07
569.4	1e-07
569.6	1e-07
569.8	1e-07
570	1e-07
570.2	1e-07
570.4	1e-07
570.6	1e-07
570.8	1e-07
571	1e-07
571.2	1e-07
571.4	1e-07
571.6	1e-07
571.8	1e-07
572	1e-07
