Wavelength	od	Transmission	
880	-1.465893686	2.923E+01	
881	-1.467107039	2.932E+01	
882	-1.468626119	2.942E+01	
883	-1.468489342	2.941E+01	
884	-1.46608504	2.925E+01	
885	-1.463060232	2.904E+01	
886	-1.46180324	2.896E+01	
887	-1.462474189	2.901E+01	
888	-1.463320665	2.906E+01	
889	-1.462167703	2.898E+01	
890	-1.458966994	2.877E+01	
891	-1.456168918	2.859E+01	
892	-1.456182985	2.859E+01	
893	-1.459195508	2.879E+01	
894	-1.462224841	2.899E+01	
895	-1.462410271	2.900E+01	
896	-1.459288563	2.879E+01	
897	-1.45477167	2.850E+01	
898	-1.452153631	2.832E+01	
899	-1.452794756	2.837E+01	
900	-1.454793909	2.850E+01	
901	-1.455038346	2.851E+01	
902	-1.452562772	2.835E+01	
903	-1.449532492	2.815E+01	
904	-1.448629711	2.810E+01	
905	-1.450148293	2.819E+01	
906	-1.452407693	2.834E+01	
907	-1.453514497	2.841E+01	
908	-1.452519762	2.835E+01	
909	-1.449603946	2.816E+01	
910	-1.445689907	2.791E+01	
911	-1.442392157	2.769E+01	
912	-1.440640245	2.758E+01	
913	-1.440490374	2.757E+01	
914	-1.440707824	2.759E+01	
915	-1.439998164	2.754E+01	
916	-1.439169688	2.749E+01	
917	-1.440234921	2.756E+01	
918	-1.443688715	2.778E+01	
919	-1.446596595	2.796E+01	
920	-1.44616659	2.794E+01	
921	-1.442898473	2.773E+01	
922	-1.439886209	2.754E+01	
923	-1.439280927	2.750E+01	
924	-1.439763897	2.753E+01	
925	-1.438971419	2.748E+01	
926	-1.43665491	2.733E+01	
927	-1.435206875	2.724E+01	
928	-1.43630232	2.731E+01	
929	-1.437933388	2.741E+01	
930	-1.436739175	2.734E+01	
931	-1.431911378	2.703E+01	
932	-1.426417809	2.669E+01	
933	-1.424756696	2.659E+01	
934	-1.427370612	2.675E+01	
935	-1.431055524	2.698E+01	
936	-1.432787967	2.709E+01	
937	-1.431783804	2.703E+01	
938	-1.429839349	2.691E+01	
939	-1.428901613	2.685E+01	
940	-1.429223207	2.687E+01	
941	-1.429265145	2.687E+01	
942	-1.428023384	2.679E+01	
943	-1.425968502	2.667E+01	
944	-1.424324536	2.657E+01	
945	-1.424157226	2.656E+01	
946	-1.424829585	2.660E+01	
947	-1.42479211	2.659E+01	
948	-1.423348979	2.651E+01	
949	-1.421511008	2.639E+01	
950	-1.420627436	2.634E+01	
951	-1.420361768	2.632E+01	
952	-1.419958722	2.630E+01	
953	-1.418558691	2.622E+01	
954	-1.416951367	2.612E+01	
955	-1.41655996	2.610E+01	
956	-1.418060626	2.619E+01	
957	-1.419744594	2.629E+01	
958	-1.419500212	2.627E+01	
959	-1.417751288	2.617E+01	
960	-1.415364555	2.602E+01	
961	-1.414581191	2.598E+01	
962	-1.415665489	2.604E+01	
963	-1.41721239	2.613E+01	
964	-1.418422598	2.621E+01	
965	-1.418297074	2.620E+01	
966	-1.417299699	2.614E+01	
967	-1.414902315	2.600E+01	
968	-1.411691063	2.580E+01	
969	-1.408840432	2.564E+01	
970	-1.407977425	2.558E+01	
971	-1.410081158	2.571E+01	
972	-1.41312545	2.589E+01	
973	-1.41503082	2.600E+01	
974	-1.414847492	2.599E+01	
975	-1.413673749	2.592E+01	
976	-1.412466899	2.585E+01	
977	-1.41191922	2.582E+01	
978	-1.411600039	2.580E+01	
979	-1.410548571	2.574E+01	
980	-1.408199681	2.560E+01	
981	-1.405499008	2.544E+01	
982	-1.40322171	2.531E+01	
983	-1.402280591	2.525E+01	
984	-1.404142012	2.536E+01	
985	-1.407696916	2.557E+01	
986	-1.410958917	2.576E+01	
987	-1.411679218	2.580E+01	
988	-1.409555506	2.568E+01	
989	-1.406811077	2.552E+01	
990	-1.404542226	2.538E+01	
991	-1.403788672	2.534E+01	
992	-1.402805362	2.528E+01	
993	-1.399925933	2.511E+01	
994	-1.397060586	2.495E+01	
995	-1.395227393	2.484E+01	
996	-1.396074308	2.489E+01	
997	-1.397904624	2.500E+01	
998	-1.399760082	2.510E+01	
999	-1.401423095	2.520E+01	
1000	-1.402202015	2.525E+01	
1001	-1.401918546	2.523E+01	
1002	-1.399632975	2.510E+01	
1003	-1.397518333	2.498E+01	
1004	-1.397201468	2.496E+01	
1005	-1.399711004	2.510E+01	
1006	-1.402259278	2.525E+01	
1007	-1.401847961	2.523E+01	
1008	-1.398618817	2.504E+01	
1009	-1.394953497	2.483E+01	
1010	-1.394199759	2.479E+01	
1011	-1.396494337	2.492E+01	
1012	-1.398869959	2.505E+01	
1013	-1.398548407	2.504E+01	
1014	-1.395101103	2.484E+01	
1015	-1.391503474	2.463E+01	
1016	-1.391028459	2.461E+01	
1017	-1.393647996	2.475E+01	
1018	-1.397303099	2.496E+01	
1019	-1.397899263	2.500E+01	
1020	-1.394858253	2.482E+01	
1021	-1.390696234	2.459E+01	
1022	-1.388754938	2.448E+01	
1023	-1.39050119	2.458E+01	
1024	-1.393284089	2.473E+01	
1025	-1.394628785	2.481E+01	
1026	-1.393248823	2.473E+01	
