Wavelength	od	Transmission
666.5	7.49589	3.19E-06
666	7.46481	3.43E-06
665.5	7.22675	5.93E-06
665	6.29805	5.03E-05
664.5	7.28436	5.20E-06
664	7.34518	4.52E-06
663.5	6.54133	2.88E-05
663	6.60676	2.47E-05
662.5	6.37129	4.25E-05
662	6.38177	4.15E-05
661.5	6.86028	1.38E-05
661	6.6443	2.27E-05
660.5	6.58625	2.59E-05
660	6.5282	2.96E-05
659.5	6.08573	8.21E-05
659	6.01287	9.71E-05
658.5	7.00912	9.79E-06
658	7.31247	4.87E-06
657.5	7.26935	5.38E-06
657	7.22623	5.94E-06
656.5	6.72552	1.88E-05
656	6.36198	4.35E-05
655.5	6.42574	3.75E-05
655	7.30563	4.95E-06
654.5	6.81904	1.52E-05
654	6.33246	4.65E-05
653.5	6.2634	5.45E-05
653	6.17838	6.63E-05
652.5	6.15995	6.92E-05
652	6.35144	4.45E-05
651.5	6.72453	1.89E-05
651	6.05	8.91E-05
650.5	6.00376	9.91E-05
650	6.24888	5.64E-05
649.5	6.59028	2.57E-05
649	6.52729	2.97E-05
648.5	6.92349	1.19E-05
648	6.88969	1.29E-05
647.5	6.48516	3.27E-05
647	6.77385	1.68E-05
646.5	6.82849	1.48E-05
646	7.04947	8.92E-06
645.5	7.28797	5.15E-06
645	7.01803	9.59E-06
644.5	6.74808	1.79E-05
644	7.10095	7.93E-06
643.5	7.487	3.26E-06
643	7.47591	3.34E-06
642.5	7.46482	3.43E-06
642	7.37429	4.22E-06
641.5	6.72485	1.88E-05
641	6.64875	2.25E-05
640.5	6.57265	2.68E-05
640	6.96185	1.09E-05
639.5	7.42731	3.74E-06
639	7.36596	4.31E-06
638.5	7.30461	4.96E-06
638	7.47305	3.36E-06
637.5	7.47303	3.36E-06
637	7.30454	4.96E-06
636.5	6.93013	1.17E-05
636	6.55572	2.78E-05
635.5	6.36973	4.27E-05
635	6.45991	3.47E-05
634.5	6.33213	4.65E-05
634	6.09432	8.05E-05
633.5	5.96862	1.07E-04
633	5.99035	1.02E-04
632.5	5.95411	1.11E-04
632	5.90629	1.24E-04
631.5	5.89349	1.28E-04
631	5.86999	1.35E-04
630.5	5.87544	1.33E-04
630	5.91982	1.20E-04
629.5	5.89577	1.27E-04
629	5.9501	1.12E-04
628.5	5.95829	1.10E-04
628	5.93447	1.16E-04
627.5	6.06227	8.66E-05
627	6.33982	4.57E-05
626.5	6.60496	2.48E-05
626	7.04908	8.93E-06
625.5	6.60575	2.48E-05
625	6.85641	1.39E-05
624.5	6.51044	3.09E-05
624	6.26203	5.47E-05
623.5	6.35894	4.38E-05
623	6.35483	4.42E-05
622.5	6.35072	4.46E-05
622	6.11076	7.75E-05
621.5	6.28576	5.18E-05
621	6.18961	6.46E-05
620.5	6.2701	5.37E-05
620	6.54047	2.88E-05
619.5	6.57198	2.68E-05
619	6.28617	5.17E-05
618.5	6.16857	6.78E-05
618	6.2774	5.28E-05
617.5	6.25379	5.57E-05
617	6.34926	4.47E-05
616.5	6.43483	3.67E-05
616	6.36835	4.28E-05
615.5	6.74596	1.79E-05
615	6.85596	1.39E-05
614.5	6.72315	1.89E-05
614	7.00216	9.95E-06
613.5	6.88668	1.30E-05
613	6.77121	1.69E-05
612.5	6.65866	2.19E-05
612	7.11943	7.60E-06
611.5	7.1769	6.65E-06
611	7.23436	5.83E-06
610.5	6.88853	1.29E-05
610	6.26878	5.39E-05
609.5	6.33801	4.59E-05
609	7.36206	4.34E-06
608.5	7.47062	3.38E-06
608	6.77224	1.69E-05
607.5	6.77247	1.69E-05
607	6.67914	2.09E-05
606.5	6.4568	3.49E-05
606	6.92236	1.20E-05
605.5	7.33855	4.59E-06
605	7.38578	4.11E-06
604.5	7.0483	8.95E-06
604	6.70042	1.99E-05
603.5	7.22262	5.99E-06
603	7.48762	3.25E-06
602.5	7.48838	3.25E-06
602	7.48915	3.24E-06
601.5	7.41323	3.86E-06
601	6.82482	1.50E-05
600.5	6.9592	1.10E-05
600	7.44944	3.55E-06
599.5	7.42461	3.76E-06
599	7.39977	3.98E-06
598.5	6.72322	1.89E-05
598	6.28469	5.19E-05
597.5	6.46901	3.40E-05
597	6.93399	1.16E-05
596.5	7.39897	3.99E-06
596	6.4334	3.69E-05
595.5	6.45775	3.49E-05
595	6.31875	4.80E-05
594.5	6.30162	4.99E-05
594	6.45696	3.49E-05
593.5	7.49797	3.18E-06
593	7.49573	3.19E-06
592.5	7.4935	3.21E-06
592	7.4466	3.58E-06
591.5	7.31034	4.89E-06
591	6.92177	1.20E-05
590.5	6.76961	1.70E-05
590	6.95974	1.10E-05
589.5	7.22273	5.99E-06
589	6.61946	2.40E-05
588.5	6.85471	1.40E-05
588	6.82458	1.50E-05
587.5	6.93145	1.17E-05
587	7.03833	9.16E-06
586.5	6.37766	4.19E-05
586	7.04502	9.02E-06
585.5	6.75713	1.75E-05
585	6.46924	3.39E-05
584.5	6.35653	4.40E-05
584	7.09745	7.99E-06
583.5	6.94626	1.13E-05
583	6.79507	1.60E-05
582.5	7.26317	5.46E-06
582	7.35314	4.43E-06
581.5	7.44311	3.60E-06
581	7.15496	7.00E-06
580.5	6.27485	5.31E-05
580	6.65671	2.20E-05
579.5	7.39826	4.00E-06
579	7.48887	3.24E-06
578.5	7.39443	4.03E-06
578	7.29998	5.01E-06
577.5	7.02048	9.54E-06
577	6.4306	3.71E-05
576.5	6.82411	1.50E-05
576	6.65742	2.20E-05
575.5	6.68969	2.04E-05
575	6.72195	1.90E-05
574.5	6.79538	1.60E-05
574	6.85803	1.39E-05
573.5	6.92067	1.20E-05
573	6.7014	1.99E-05
