Wavelength	od	Transmission	
2023	-1.914065962	82.04761505	
2022	-1.913723411	81.98292542	
2021	-1.913745074	81.98701477	
2020	-1.913174703	81.87940979	
2019	-1.913744184	81.98684692	
2018	-1.913667957	81.97245789	
2017	-1.912612133	81.77341461	
2016	-1.913508589	81.94238281	
2015	-1.912731203	81.7958374	
2014	-1.912405759	81.73456573	
2013	-1.912806582	81.81003571	
2012	-1.912440581	81.74111938	
2011	-1.912497813	81.75189209	
2010	-1.911833911	81.62701416	
2009	-1.912031346	81.66413116	
2008	-1.91098239	81.46712494	
2007	-1.911487888	81.56200409	
2006	-1.911254886	81.51825714	
2005	-1.910849007	81.44210815	
2004	-1.911122603	81.49343109	
2003	-1.910880699	81.44805145	
2002	-1.910644928	81.40384674	
2001	-1.910464738	81.37007904	
2000	-1.910345696	81.34777832	
1999	-1.909561073	81.20094299	
1998	-1.91007805	81.29766083	
1997	-1.910123165	81.30610657	
1996	-1.909401618	81.17113495	
1995	-1.908878481	81.07341766	
1994	-1.909299066	81.15196991	
1993	-1.90971692	81.23008728	
1992	-1.908951018	81.08695984	
1991	-1.90913441	81.12120819	
1990	-1.909022235	81.10025787	
1989	-1.907986004	80.90698242	
1988	-1.908041082	80.91724396	
1987	-1.908315348	80.9683609	
1986	-1.907517041	80.819664	
1985	-1.907797701	80.8719101	
1984	-1.907696204	80.85301208	
1983	-1.907069733	80.73646545	
1982	-1.906630139	80.65478516	
1981	-1.90661309	80.65161896	
1980	-1.906646653	80.65785217	
1979	-1.90638169	80.60865784	
1978	-1.905963247	80.53102875	
1977	-1.906280519	80.5898819	
1976	-1.905596495	80.46305084	
1975	-1.905999	80.53765869	
1974	-1.906049806	80.54708099	
1973	-1.905467874	80.43922424	
1972	-1.905249834	80.39884949	
1971	-1.905312225	80.41040039	
1970	-1.905185745	80.38698578	
1969	-1.904401892	80.24202728	
1968	-1.904635835	80.28526306	
1967	-1.904607729	80.28006744	
1966	-1.904633565	80.28484344	
1965	-1.904344657	80.23145294	
1964	-1.904408995	80.24333954	
1963	-1.903972278	80.16268921	
1962	-1.904099649	80.186203	
1961	-1.903872612	80.14429474	
1960	-1.903483358	80.07249451	
1959	-1.903742651	80.12031555	
1958	-1.903727846	80.11758423	
1957	-1.903559036	80.08644867	
1956	-1.903367355	80.05110931	
1955	-1.903628909	80.09933472	
1954	-1.903006067	79.98454285	
1953	-1.903599786	80.09396362	
1952	-1.902889894	79.96315002	
1951	-1.903246559	80.02884674	
1950	-1.902922752	79.96920013	
1949	-1.902779949	79.94290924	
1948	-1.902800713	79.94673157	
1947	-1.902861136	79.95785522	
1946	-1.902783638	79.94358826	
1945	-1.903260428	80.03140259	
1944	-1.902794455	79.94557953	
1943	-1.903145524	80.01023102	
1942	-1.902781275	79.94315338	
1941	-1.902976405	79.9790802	
1940	-1.902874065	79.9602356	
1939	-1.902912725	79.96735382	
1938	-1.903188301	80.01811218	
1937	-1.9034373	80.06400299	
1936	-1.903089656	79.99993896	
1935	-1.902955732	79.97527313	
1934	-1.902547907	79.90020752	
1933	-1.903163166	80.01348114	
1932	-1.903064059	79.995224	
1931	-1.903157534	80.01244354	
1930	-1.903324513	80.04321289	
1929	-1.903376957	80.05287933	
1928	-1.903681027	80.10894775	
1927	-1.903996209	80.16710663	
1926	-1.903585265	80.09128571	
1925	-1.904024272	80.17228699	
1924	-1.904339536	80.2305069	
1923	-1.903978065	80.16375732	
1922	-1.903851567	80.14041138	
1921	-1.904164271	80.19813538	
1920	-1.904502263	80.26057434	
1919	-1.904716305	80.30014038	
1918	-1.90455147	80.26966858	
1917	-1.905051971	80.36222839	
1916	-1.905349679	80.41733551	
1915	-1.905368879	80.42089081	
1914	-1.905506715	80.44641876	
1913	-1.905696014	80.48149109	
1912	-1.905646237	80.47226715	
1911	-1.906943107	80.71292877	
1910	-1.906556474	80.64110565	
1909	-1.906823096	80.69062805	
1908	-1.907088651	80.7399826	
1907	-1.906849293	80.69549561	
1906	-1.907230661	80.76638794	
1905	-1.908128047	80.93344879	
1904	-1.907694564	80.85270691	
1903	-1.908473688	80.99788666	
1902	-1.908148803	80.93731689	
1901	-1.908551282	81.01235962	
1900	-1.909138617	81.12199402	
1899	-1.908884857	81.07460785	
1898	-1.909517736	81.19284058	
1897	-1.91042088	81.36186218	
1896	-1.910633409	81.40168762	
1895	-1.910921053	81.45561981	
1894	-1.910615946	81.39841461	
1893	-1.911539316	81.5716629	
1892	-1.911101948	81.48955536	
1891	-1.912317052	81.71787262	
1890	-1.912794918	81.80783844	
1889	-1.913164749	81.87753296	
1888	-1.912960783	81.83908844	
1887	-1.913554157	81.95098114	
1886	-1.913596245	81.95892334	
1885	-1.913996455	82.03448486	
1884	-1.913927948	82.02154541	
1883	-1.914870632	82.1997757	
1882	-1.915750737	82.36652374	
1881	-1.915311471	82.28325653	
1880	-1.915729858	82.36256409	
1879	-1.915789233	82.37382507	
1878	-1.916162432	82.44464111	
1877	-1.916882231	82.58139801	
1876	-1.917575242	82.71327972	
1875	-1.917482135	82.69554901	
1874	-1.917852401	82.76608276	
1873	-1.918153468	82.8234787	
1872	-1.91838	82.86669159	
1871	-1.918455765	82.88114929	
1870	-1.919688766	83.11679077	
1869	-1.919526687	83.08577728	
1868	-1.920129045	83.20109558	
1867	-1.920135576	83.2023468	
1866	-1.921246741	83.41549683	
